"Job Title","Company Name","Job Link","Posted Date","Location","Experience","Salary","Skills","Description"
"Data Analyst","VALEO","=HYPERLINK(""https://www.timesjobs.com/job-detail/data-analyst-valeo-chennai-3-to-5-yrs-jobid-uvO3Yjklc8tzpSvf__PLUS__uAgZw==&source=srp"", ""Apply Now"")","4 days ago","Chennai","3 - 5 Years","Not disclosed","nlp and nlg, data pipeline creation, model training validation, machine learning algorithms, generative ai integration, data structures","Valeo is a tech global company ,  designing breakthrough solutions to reinvent the mobility. We are an automotive supplier partner to automakers and n..."
"Data Analyst","DecisionTree Analytics and Services","=HYPERLINK(""https://www.timesjobs.com/job-detail/data-analyst-decisiontree-analytics-and-services-gurgaon-1-to-3-yrs-jobid-F8snx2ver2NzpSvf__PLUS__uAgZw==&source=srp"", ""Apply Now"")","few days ago","Gurgaon","1 - 3 Years","Not disclosed","data mining, sql, postgresql, mysql, product delivery, written communication","Data AnalystLocation: GurgaonEmployment Type: Full TimeExperience: 1-3 YearsPosition Summary:DecisionTree is looking for a Data Analyst to manage serv..."
"Data Analyst","Ares Management Corporation","=HYPERLINK(""https://www.timesjobs.com/job-detail/data-analyst-ares-management-corporation-mumbai-1-to-5-yrs-jobid-jrj3zg9HtqVzpSvf__PLUS__uAgZw==&source=srp"", ""Apply Now"")","6 days ago","Mumbai","1 - 5 Years","Not disclosed","data analysis skills, financial reporting skills, excel proficiency, problem solving skills, communication skills, fund raising, accounting, cash flow, balance sheet","Over the last 20 years ,  Ares success has been driven by our people and our culture. Today ,  our team is guided by our core values  Collaborative , ..."
"Data Analyst","SEVEN CONSULTANCY","=HYPERLINK(""https://www.timesjobs.com/job-detail/data-analyst-seven-consultancy-bengaluru-bangalore-2-to-3-yrs-jobid-2mlx40TWSTdzpSvf__PLUS__uAgZw==&source=srp"", ""Apply Now"")","5 days ago","Bengaluru / Bangalore","2 - 3 Years","Not disclosed","data analytics, big data analytics, data mining, data reports, data analyst, database, data science, data scientist, analyst","JOB DETAILS1.Importing / Collecting ,  cleaning ,  converting and analyzing the data for the purpose of find insights and making conclusions.2.Present..."
"Data Analyst","SEVEN CONSULTANCY","=HYPERLINK(""https://www.timesjobs.com/job-detail/data-analyst-seven-consultancy-mumbai-0-to-3-yrs-jobid-RlJxtBfgFZlzpSvf__PLUS__uAgZw==&source=srp"", ""Apply Now"")","5 days ago","Mumbai","0 - 3 Years","Not disclosed","data analytics, big data analytics, data mining, data reports, data analyst, database, data science, data scientist, analyst","1.Importing / Collecting ,  cleaning ,  converting and analyzing the data for the purpose of find insights and making conclusions.2.Presenting data in..."
"Data Analyst","TARGET","=HYPERLINK(""https://www.timesjobs.com/job-detail/data-analyst-target-bengaluru-bangalore-1-to-4-yrs-jobid-VBJDtAEHbmZzpSvf__PLUS__uAgZw==&source=srp"", ""Apply Now"")","few days ago","Bengaluru / Bangalore","1 - 4 Years","Not disclosed","data analysis, sql queries, problem solving, data visualization, statistical analysis, hive, python, data mining, hadoop","About us:As a Fortune 50 company with more than 400 , 000 team members worldwide ,  Target is an iconic brand and one of America's leading retailers. ..."
"Data Analyst","Increasingly","=HYPERLINK(""https://www.timesjobs.com/job-detail/data-analyst-increasingly-bengaluru-bangalore-2-to-4-yrs-jobid-UqOPBHLdrLdzpSvf__PLUS__uAgZw==&source=srp"", ""Apply Now"")","6 days ago","Bengaluru / Bangalore","2 - 4 Years","Not disclosed","data analysis, sql proficiency, tableau visualization, statistical methods, data quality control, data mining, bi, data warehousing, product roadmap, dashboards, advanced excel, software engineering, data visualization, vba, statistical analysis","Company DescriptionAbout DataArtFounded in 1997 ,  DataArt is a global software engineering firm and a trusted technology collaborator for market lead..."
"Data Analyst","coinswitch","=HYPERLINK(""https://www.timesjobs.com/job-detail/data-analyst-coinswitch-bengaluru-bangalore-3-to-6-yrs-jobid-0CRp0rjKW9tzpSvf__PLUS__uAgZw==&source=srp"", ""Apply Now"")","few days ago","Bengaluru / Bangalore","3 - 6 Years","Not disclosed","data analysis techniques, machine learning modeling, user research skills, market research analysis, stakeholder management, hr, leave, communication, presentation skills","Know the CompanyPeepalCo is a canopy for brands serving India with tailored wealth-tech products ,  Making Money Equal for All. Founded by Ashish Sing..."
"Data Analyst","TARGET","=HYPERLINK(""https://www.timesjobs.com/job-detail/data-analyst-target-bengaluru-bangalore-1-to-4-yrs-jobid-9__PLUS__PdpJ3h9YBzpSvf__PLUS__uAgZw==&source=srp"", ""Apply Now"")","6 days ago","Bengaluru / Bangalore","1 - 4 Years","Not disclosed","intermediate sql skills, data mining expertise, analytical problem solving, data visualization techniques, communication with teams, hive, python, sharepoint, hadoop, forms","About us:Working at Target means helping all families discover the joy of everyday life. We bring that vision to life through our values and culture. ..."
"Data Analyst","BCD Travel","=HYPERLINK(""https://www.timesjobs.com/job-detail/data-analyst-bcd-travel-mumbai-1-to-5-yrs-jobid-2qHuXZcLWqJzpSvf__PLUS__uAgZw==&source=srp"", ""Apply Now"")","6 days ago","Mumbai","1 - 5 Years","Not disclosed","data analysis expertise, compliance monitoring, strong organization skills, advanced excel proficiency, project management support, amp, production, supervision, problem solving, maintenance","A culture of purpose: Where will your BCD M & amp;E career take you?As perfectionists ,  artists ,  strategic thinkers and leaders in the industry ,  ..."
"Data Analyst","SEVEN CONSULTANCY","=HYPERLINK(""https://www.timesjobs.com/job-detail/data-analyst-seven-consultancy-hyderabad-secunderabad-0-to-3-yrs-jobid-K8nPVxiI3sFzpSvf__PLUS__uAgZw==&source=srp"", ""Apply Now"")","5 days ago","Hyderabad/Secunderabad","0 - 3 Years","Not disclosed","Defining new data collection, Interpretation of collected data, trends in data sets","JOB DETAILS1. Collection and Collation of data2. Analysis and Interpretation of collected data3. Identifying patterns and trends in data sets4. Report..."
"Data Analyst","Hexanika","=HYPERLINK(""https://www.timesjobs.com/job-detail/data-analyst-hexanika-pune-0-to-3-yrs-jobid-JeX7lSZlW1FzpSvf__PLUS__uAgZw==&source=srp"", ""Apply Now"")","few days ago","Pune","0 - 3 Years","Not disclosed","test data, sql queries, testing, sql","Job Description: We are looking to hire a Data Analyst to join our data team. Your responsibility would include for developing reports ,  and troubles..."
"Data Analyst","vixplor analytics pvt ltd","=HYPERLINK(""https://www.timesjobs.com/job-detail/data-analyst-vixplor-analytics-pvt-ltd-kolkata-0-to-5-yrs-jobid-__SLASH__JhQi__PLUS__Ocxn5zpSvf__PLUS__uAgZw==&source=srp"", ""Apply Now"")","few days ago","Kolkata","0 - 5 Years","Not disclosed","Marketing Ability, Leadership Qualities, Communication Skill, Achieving Sales Target, Fluent in Hindi, marketing, sales","Location: KolkataDescription: Responsible for marketing and sales. Working with Vixplor ,  you will get exposure to a wide range in marketing. There w..."
"Data Analyst","ASTRAZENECA","=HYPERLINK(""https://www.timesjobs.com/job-detail/data-analyst-astrazeneca-chennai-3-to-6-yrs-jobid-pwjqCFbJUWhzpSvf__PLUS__uAgZw==&source=srp"", ""Apply Now"")","few days ago","Chennai","3 - 6 Years","Not disclosed","predictive analytics, data visualization, statistical procedures, python proficiency, strategic thinking, sql, data science, data analyst, tableau, consultant, statistical analysis","Job Title - Data AnalystCareer Level - C3You will be responsible for providing analytical expertise to the Commercial Organization ,  driving strategi..."
